Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,FS55X226K500EHG,Cap_MLCC_50V_22uF_X7R_2220_C784103,12.3,11.3,90,top
C2,CC0603KRX7R7BB105,MLCC_16V_1uF_X7R_±10%_0603_C106248,12.2,28.2,0,top
C3,CC0603KRX7R9BB104,MLCC_Yageo_50V_100nF_X7R_±10%_0603_C14663,8.3,13.3,-90,top
C4,GRM155R60J106ME15D,CAPC1005X65N,26.1,22.5,180,top
C5,GCM155R71C104KA55J,CAPC1005X55N,12.1,16.5,90,top
C6,GCM155R71C104KA55J,CAPC1005X55N,26.1,21.1,0,top
C7,CC0603KRX7R7BB105,MLCC_16V_1uF_X7R_±10%_0603_C106248,12,37.2,180,top
C8,CC0603KRX7R9BB104,MLCC_Yageo_50V_100nF_X7R_±10%_0603_C14663,19.6,1.5,180,top
C9,FS55X226K500EHG,Cap_MLCC_50V_22uF_X7R_2220_C784103,10.7,23.1,180,top
C10,GRM155R71H223KA12D,MLCC_Murata_50V_22nF_X7R_±10%_0402_C77023,21.1,13.4,-90,top
C11,GRM188Z71C475KE21D,C0603,20.1,8.7075,-90,top
C12,GRM21BR61E106KA73L,CAPC2012X140N,15.5,34.9,-90,top
C13,GCM155R71C104KA55J,CAPC1005X55N,15.3,38.2,180,top
C14,GCM155R71C104KA55J,CAPC1005X55N,28.8,11.7,-90,top
C15,CGA2B3X7R1V104KT0Y0F,C0402_L1.0-W0.5-H0.5,17.7,10.4,0,top
C16,CGA2B3X7R1V104KT0Y0F,C0402_L1.0-W0.5-H0.5,28.45,17.29,0,top
C17,CGA2B3X7R1V104KT0Y0F,C0402_L1.0-W0.5-H0.5,21.8,17.1,180,top
C18,RVT1V101M0605,Capacitor_100uF_35V_75mA@120Hz_±20%_D6pt3xL5pt4mm_C3151830,3.8,13,90,top
C19,GCM155R71C104KA55J,CAPC1005X55N,33.6,40.532,90,top
C20,GCM155R71C104KA55J,CAPC1005X55N,15.5,39.9,90,top
D2,BAT20JFILM,SOD-323,9.5,35.5,-90,top
D3,BAT20JFILM,SOD-323,9.8,27.8,-90,top
J1,Conn_01x01_Female,PinHeader_1x01_P1.00mm_Vertical,36.8,1.2,0,top
J2,Conn_01x01_Female,PinHeader_1x01_P1.00mm_Vertical,40.37,38.7,45,top
J3,Conn_01x01_Female,PinHeader_1x01_P1.00mm_Vertical,40.8,5.3,90,top
J4,Conn_01x01_Female,PinHeader_1x01_P1.00mm_Vertical,39.7,2.4,45,top
J5,Conn_01x01_Female,PinHeader_1x01_P1.00mm_Vertical,38.78,40.26,45,top
L1,FTC252012S100MBCA,Inductor_10uH_1pt6A_2x2pt5mm_C5832376,14.1,17.4,-90,top
R1,RC0402FR-075K1L,RESC1005X40N,1.3,18.1,-90,top
R2,RL1206FR-7W0R11L,Resistor_110mΩ_500mW_1206_C859923,18,12.5,180,top
R3,RL1206FR-7W0R11L,Resistor_110mΩ_500mW_1206_C859923,18,14.9,180,top
R4,RC0402FR-0733RL,Resistor_62.5mW_50V_±1%_33Ω_0402_C138002,20.4,24.6,0,top
R5,RC0402FR-0710KL,Resistor_62.5mW_50V_±1%_10kΩ_0402_C60490,18,24.6,0,top
R6,RC0402FR-07100KL,Resistor_ 100kΩ_62.5mW_50V_0402_C60491,6.1,17.4,0,top
R7,RC0402FR-07100KL,Resistor_ 100kΩ_62.5mW_50V_0402_C60491,11.9,18.9,90,top
R8,FRC0805F1902TS,Resistor_19kΩ_0.125W_150V_0805_C2930177,4.7,19.5,180,top
R9,0402WGF4700TCE,Resistor_470Ω_62p5W_0402_C25117,7.4,41,180,top
R10,RC0402FR-0710KL,Resistor_62.5mW_50V_±1%_10kΩ_0402_C60490,18.4,8.2,-90,top
R11,TC33X-2-103E,TRIM_TC33X-2-103E,23.2,7.955335,90,top
R12,RC0402FR-0710KL,Resistor_62.5mW_50V_±1%_10kΩ_0402_C60490,26.5,9.6,0,top
R13,RC0402FR-075K1L,RESC1005X40N,1.5,34.4,180,top
R14,0402WGF4700TCE,Resistor_470Ω_62p5W_0402_C25117,41.2,34.33,90,top
R15,0402WGF4700TCE,Resistor_470Ω_62p5W_0402_C25117,40,34.33,90,top
R16,RC0402FR-0733RL,Resistor_62.5mW_50V_±1%_33Ω_0402_C138002,33.5,31.7,90,top
R17,RC0402FR-0733RL,Resistor_62.5mW_50V_±1%_33Ω_0402_C138002,33.4,29.1,-90,top
R18,RC0402FR-0733RL,Resistor_62.5mW_50V_±1%_33Ω_0402_C138002,33.4,26.7,-90,top
R19,RC0402FR-0710KL,Resistor_62.5mW_50V_±1%_10kΩ_0402_C60490,35.8,40.3,180,top
R22,RC0402FR-0710KL,Resistor_62.5mW_50V_±1%_10kΩ_0402_C60490,14.9,31.7,0,top
R23,RC0402FR-0710KL,Resistor_62.5mW_50V_±1%_10kΩ_0402_C60490,35.7,28.5575,90,top
R24,RC0402FR-0710KL,Resistor_62.5mW_50V_±1%_10kΩ_0402_C60490,35.7,31.5575,90,top
SW1,TS-1088-AR02016,50mA_12V_1.6N__Tactile_Switches_C720477,29.2,24.2,0,top
SW2,TS-1088-AR02016,50mA_12V_1.6N__Tactile_Switches_C720477,11.6,40.1,180,top
U1,930-D-SMD-DS_02,WECO_1x2P_13.5A_Screw_Terminal_C19273347,12.475,3.755,0,top
U2,930-D-SMD-DS_02,WECO_1x2P_13.5A_Screw_Terminal_C19273347,29.4,3.8,0,top
U3,USBLC6-2SC6,SOT-23-6,9.6,31.2,180,top
